File name,Size,Entropy,Chi-score,Serial Correlation,P-val Z,P-val Chi,Monte Carlo,Iterations,Monobit,Poker,Run,Long run,Frequency_pvalue,Frequency_proportion,Block Frequency_pvalue,Block Frequency_proportion,Cumulative Sums_pvalue,Cumulative Sums_proportion,Runs_pvalue,Runs_proportion,Longest Run_pvalue,Longest Run_proportion,Rank_pvalue,Rank_proportion,FFT_pvalue,FFT_proportion,NonOverlapping Template_pvalue,NonOverlapping Template_proportion,Overlapping Template_pvalue,Overlapping Template_proportion,Universal_pvalue,Universal_proportion,Approximate Entropy_pvalue,Approximate Entropy_proportion,Random Excursions_pvalue,Random Excursions_proportion,Random Excursions Variant_pvalue,Random Excursions Variant_proportion,Serial_pvalue,Serial_proportion,Linear Complexity_pvalue,Linear Complexity_proportion
./64/video/enc/encrypted_01TP_extract.avi01.enc-camellia-128-cbc2104,65536.0,7.997096474875625,263.34375,-0.0036716766207708,1.0,0.9999999999984466,3.120673869254716,26.0,1.0,1.0,1.0,1.0,0.534146,1.0,0.122325,1.0,0.6093359613704614,1.0,0.739918,1.0,0.739918,1.0,0.991468,1.0,0.534146,1.0,0.17049278474792648,0.9783783783783785,0.350485,0.9,0.000000,0.0,0.350485,0.9,----,1.0,----,1.0,0.5008851731875679,1.0,0.739918,1.0
./64/video/enc/encrypted_01TP_extract.avi01.enc-camellia-128-cbc8915,65536.0,7.997259784613779,249.421875,0.003288371153153201,1.0,0.9999999999984466,3.139351767075627,26.0,0.9615384615384616,1.0,1.0,1.0,0.739918,1.0,0.534146,1.0,0.4492237077530251,1.0,0.122325,1.0,0.739918,1.0,0.122325,1.0,0.350485,1.0,0.7858094278022484,0.995945945945946,0.534146,1.0,0.000000,0.0,0.350485,0.9,----,1.0,----,1.0,0.8372681281023225,1.0,0.350485,0.9
./64/video/enc/encrypted_01TP_extract.avi02.enc-aes-128-cbc4115,65536.0,7.99705558998405,266.6640625,0.008778990706495406,1.0,0.9999999999984466,3.1510712323750227,26.0,1.0,1.0,1.0,1.0,0.213309,1.0,0.534146,1.0,0.4492237077530251,1.0,0.350485,1.0,0.350485,1.0,0.035174,1.0,0.213309,0.9,0.8342397553900415,0.9817567567567569,0.739918,1.0,0.000000,0.0,0.534146,1.0,----,----,----,----,0.24359576691718723,1.0,0.911413,1.0
./64/video/enc/encrypted_01TP_extract.avi02.enc-camellia-192-cbc1614,65536.0,7.996924316012207,278.5078125,-0.006303880314855065,1.0,0.9999999999984466,3.109686870536532,26.0,1.0,1.0,1.0,1.0,0.213309,1.0,0.350485,1.0,0.6839765003158559,0.95,0.017912,1.0,0.534146,1.0,0.534146,1.0,0.350485,1.0,0.8669364192883495,0.9844594594594593,0.991468,1.0,0.000000,0.0,0.035174,1.0,----,----,----,----,0.6093359613704614,1.0,0.911413,1.0
./64/video/enc/encrypted_01TP_extract.avi01.enc-camellia-192-cbc4802,65536.0,7.9973967671990795,236.5703125,0.0036340111075073727,1.0,0.9999999999984466,3.123237502288958,26.0,1.0,1.0,1.0,1.0,0.350485,0.9,0.534146,1.0,0.12123046480852778,0.9,0.350485,1.0,0.534146,1.0,0.350485,1.0,0.534146,1.0,0.29400902830357095,0.9864864864864865,0.122325,0.9,0.000000,0.0,0.739918,1.0,----,----,----,----,0.762111684149774,1.0,0.035174,1.0
./64/video/enc/encrypted_01TP_extract.avi00.enc-camellia-192-cbc7406,65536.0,7.996912404076197,280.3046875,-0.00397663488574525,1.0,0.9999999999984466,3.1514374656656288,26.0,1.0,1.0,1.0,1.0,0.017912,1.0,0.534146,1.0,0.0748969970103014,1.0,0.911413,0.9,0.739918,1.0,0.213309,1.0,0.739918,1.0,0.9742840015892836,0.9885135135135136,0.534146,1.0,0.000000,0.0,0.350485,1.0,----,----,----,----,0.11142188758396772,1.0,0.350485,1.0
./64/video/enc/encrypted_01TP_extract.avi02.enc-camellia-128-cbc3402,65536.0,7.997362180531559,239.8203125,0.004652689152958045,1.0,0.9999999999984466,3.1111518036989563,26.0,1.0,1.0,1.0,1.0,0.911413,1.0,0.534146,1.0,0.9400561843792795,1.0,0.213309,1.0,0.739918,1.0,0.739918,1.0,0.350485,1.0,0.9389209155570369,0.9851351351351352,0.350485,1.0,0.000000,0.0,0.350485,1.0,----,0.875,----,1.0,0.24359576691718723,1.0,0.534146,1.0
./64/video/enc/encrypted_01TP_extract.avi00.enc-aes-256-cbc6202,65536.0,7.997443351803286,231.203125,0.00022181323357974562,1.0,0.9999999999984466,3.169749130195935,26.0,1.0,1.0,1.0,1.0,0.739918,1.0,0.911413,1.0,0.6093359613704614,1.0,0.739918,1.0,0.534146,1.0,0.739918,1.0,0.911413,1.0,0.9518866333687336,0.9878378378378377,0.534146,1.0,0.000000,0.0,0.534146,0.9,----,----,----,----,0.5008851731875679,1.0,0.534146,1.0
./64/video/enc/encrypted_01TP_extract.avi01.enc-aes-128-cbc8505,65536.0,7.996971333095975,276.140625,0.00013527007365998685,1.0,0.9999999999984466,3.1485075993407796,26.0,1.0,1.0,1.0,1.0,0.911413,1.0,0.213309,1.0,0.5008851731875679,1.0,0.739918,1.0,0.122325,1.0,0.911413,1.0,0.213309,1.0,0.8885185758872566,0.9891891891891892,0.739918,1.0,0.000000,0.0,0.122325,0.9,----,----,----,----,0.762111684149774,0.95,0.213309,1.0
./64/video/enc/encrypted_01TP_extract.avi01.enc-camellia-128-cbc3001,65536.0,7.997259565006244,247.703125,-0.00047988215051240684,1.0,0.9999999999984466,3.134590734297748,26.0,1.0,1.0,1.0,1.0,0.350485,1.0,0.911413,1.0,0.5008851731875679,1.0,0.008879,1.0,0.991468,1.0,0.066882,1.0,0.911413,0.9,0.9399757958583496,0.9844594594594593,0.739918,0.9,0.000000,0.0,0.213309,1.0,----,----,----,----,0.6839765003158559,1.0,0.739918,1.0
