		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110000   10   13   14   12   16   14   13   14  2.581401 0.957827 SUCCESS 140
111110010   15   14   16   11   14   14   13    7  5.188277 0.737276 SUCCESS 141
111110100   14   11   10   10   11   14   10    9  2.878629 0.941742 SUCCESS 142
111110110   13   10    5   13   13    7   12   15  7.910338 0.442277 SUCCESS 143
111111000    8   18   17    6   15   10    7   16 14.142878 0.078117 SUCCESS 144
111111010   11   13    8   10   10   16    8    8  6.684351 0.571040 SUCCESS 145
111111100   12   12   17    7   15   14   13   10  5.656959 0.685595 SUCCESS 146
111111110   12   13   17   10    9   12   14   13  3.623357 0.889408 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   11   17   12   11   13   11   13    8  3.922572 0.864041 SUCCESS   0
000000011    7   11    8    7   11   12   11   10  6.826677 0.555443 SUCCESS   1
000000101   10   27   12    7   14    8   11   10 23.568146 0.002706 FAILURE   2
000000111    9    7    8   10   13   11   16    7  8.730531 0.365536 SUCCESS   3
000001001    8   15    6    7    8   10   13   11  9.759909 0.282283 SUCCESS   4
000001011    8   20   12   11   15    7   15   12 10.402030 0.237934 SUCCESS   5
000001101   15   19   10   13   17   10    8   11  9.033718 0.339460 SUCCESS   6
000001111    8    7   11   10   18   13   17    9 10.035955 0.262511 SUCCESS   7
000010001   14   10   19   12   13    9    7   11  7.937479 0.439601 SUCCESS   8
000010011    8   13    5   13   12   11   14   13  6.437433 0.598356 SUCCESS   9
000010101   15   14   17   14   13   14   12   17  5.476900 0.705598 SUCCESS  10
000010111    7   15   10   11    9   12   13    9  5.263743 0.729051 SUCCESS  11
000011001   16   14   12   10   14   11   14   13  2.646275 0.954561 SUCCESS  12
000011011   16   16   14   15   14   10   10   11  4.615003 0.797820 SUCCESS  13
000011101    9   12    8   23   16   11    9   10 14.873041 0.061662 SUCCESS  14
000011111   10    9   12    9   18   13   20   11 10.337156 0.242155 SUCCESS  15
000100011   16   12   12   14   17    4    8   14 10.923008 0.206100 SUCCESS  16
000100101    7   14   14   11   12   12   11   10  3.491623 0.899839 SUCCESS  17
000100111    3   12    6   14   14   13   13   10 11.481719 0.175869 SUCCESS  18
000101001   12   11   13   18    8   14   15   10  5.878722 0.660815 SUCCESS  19
000101011    9    9   13   10   10   10   16   16  5.460351 0.707429 SUCCESS  20
000101101   12   13   13    8   18   13   17   13  6.531434 0.587923 SUCCESS  21
000101111   12   15   11    9   11   16   18   10  6.269952 0.617022 SUCCESS  22
000110011   17   15   11   10   12   13   14    8  4.979091 0.759809 SUCCESS  23
000110101   13   12   13   17   14   11   11   10  2.997786 0.934496 SUCCESS  24
000110111   17   12   13    6    9   15   13   11  6.972975 0.539551 SUCCESS  25
000111001    9   17   11   11   10   17   11   19  9.477244 0.303648 SUCCESS  26
000111011   13   13   14   17   14    8   10    7  6.803508 0.557974 SUCCESS  27
000111101   17    7    8   12    6   13    5   16 14.649292 0.066334 SUCCESS  28
000111111    9    7   13   10   15   13   13    8  5.876736 0.661037 SUCCESS  29
001000011   16   12    9   13   16   11   15    5  8.550472 0.381623 SUCCESS  30
001000101   13   10   16   10    7   12   16   10  6.021048 0.644874 SUCCESS  31
001000111   18   13   12   13   17   11    7   14  7.613109 0.472145 SUCCESS  32
001001011    6   17   14   13   14   10   10    9  7.493953 0.484393 SUCCESS  33
001001101    8    9   10   12   16   13   12   19  7.977198 0.435701 SUCCESS  34
001001111    5    9    8    9   17   11   10   17 12.042416 0.149321 SUCCESS  35
001010011   15   11   16   15    6    8   15    5 12.473365 0.131300 SUCCESS  36
001010101   14   19   15    9    9   18   13   19 13.441841 0.097525 SUCCESS  37
001010111    8    9   13    9    8    8   13   11  6.422869 0.599975 SUCCESS  38
001011011    7   12   17    9   21   13   19    9 16.529977 0.035393 SUCCESS  39
001011101   12   11    9   17    6    6   11   13  9.617584 0.292898 SUCCESS  40
001011111   13   17   14   12   13   19   17   15  8.905956 0.350292 SUCCESS  41
001100101   14    9    9   16   12   13   13    8  4.834780 0.775080 SUCCESS  42
001100111   17   13   14   13   14   15   12    5  7.677983 0.465541 SUCCESS  43
001101011   13   13   12   17   15   10    9   12  4.014587 0.855805 SUCCESS  44
001101101   12   12    7   19   13   17   20    7 15.682643 0.047154 SUCCESS  45
001101111   14   18   12    6    8   15   10   17 10.910430 0.206826 SUCCESS  46
001110101   10   12   12   12   15   10   12    9  2.357651 0.968039 SUCCESS  47
001110111    9   16    7   13    8   10   11    9  7.309922 0.503593 SUCCESS  48
001111011   12    6   10   13   14   13    9   17  6.868382 0.550898 SUCCESS  49
001111101   13   16   20    8   15    6   11   13 12.031824 0.149790 SUCCESS  50
001111111   12   11   19   12   11   11   15   14  5.240573 0.731581 SUCCESS  51
010000011   14   14    9   18   24   17    7   16 21.563671 0.005792 FAILURE  52
010000111   11   18   10   17   16   12   12   11  6.700901 0.569220 SUCCESS  53
010001011   13   15   13   12   11   10   18   10  4.575284 0.801855 SUCCESS  54
010001111   10   10   14   19   12    9    7   18 11.027601 0.200140 SUCCESS  55
010010011   11    8   11    8   16   14   13   12  4.782483 0.780552 SUCCESS  56
010010111    9   19   14    9   12   14   12   12  6.217656 0.622866 SUCCESS  57
010011011    8   14    8   15   11   15   13   11  4.887076 0.769575 SUCCESS  58
010011111   12   10   17   13   11   17    9   16  6.596308 0.580746 SUCCESS  59
010100011   15   15   15   19    8   10   10   12  8.238680 0.410509 SUCCESS  60
010100111   15   18   16   10   13   15    9    9  7.613109 0.472145 SUCCESS  61
010101011   15   16   18   12    9   14    9   21 13.337248 0.100761 SUCCESS  62
010101111   13   12   14   13   13   11   13   19  4.550128 0.804397 SUCCESS  63
010110011   15   13    8   18   17    7    7    6 14.845900 0.062212 SUCCESS  64
010110111   16   13   13   11   20   14   14   12  7.184146 0.516901 SUCCESS  65
010111011    8    5   10   16    5    9    8   15 14.908788 0.060943 SUCCESS  66
010111111   10   15   14   13   15   15   14   12  3.024927 0.932784 SUCCESS  67
011000111   15    3   19   15    8    9   13    7 17.113843 0.028945 SUCCESS  68
011001111   21   12   12   12    8   11   11    8  9.801614 0.279227 SUCCESS  69
011010111   13    8   12   15   12   15   10   14  3.571060 0.893605 SUCCESS  70
011011111    7   11   11   12   10   16   13    9  5.081698 0.748809 SUCCESS  71
011101111    9   12   10   15   11   10   11   10  2.995800 0.934621 SUCCESS  72
011111111   14   13   16   15    7   10   18   11  7.899746 0.443324 SUCCESS  73
100000000   11   17   12   11   13   11   13    8  3.922572 0.864041 SUCCESS  74
100010000    6   14   13   13   19   17    6   16 14.000552 0.081751 SUCCESS  75
100100000   10   14   12   11   21   14   12   17  9.621556 0.292598 SUCCESS  76
100101000   11   13   14   15   16    9   14   11  3.610779 0.890424 SUCCESS  77
100110000    8    9   12   14   15   13   14   12  3.635934 0.888388 SUCCESS  78
100111000   17   14   10   11   11   10   12    5  7.675997 0.465742 SUCCESS  79
101000000   11   15    7    7   11   10   13    8  7.427093 0.491329 SUCCESS  80
101000100   13   15   12   13   18   11    9   10  5.031388 0.754216 SUCCESS  81
101001000   12   11   11   12   11   13   20   16  6.818071 0.556383 SUCCESS  82
101001100    6   10   17   17   13   13   12   10  8.094368 0.424307 SUCCESS  83
