		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100111000   11   15   17   15   17    9   15   10  7.313894 0.503175 SUCCESS  79
101000000    7   11   18   12    9   10   12   19 10.466904 0.233771 SUCCESS  80
101000100   18   11    7   15    6   11    8   11 10.908444 0.206941 SUCCESS  81
101001000   18   11   11   14   16   12   16   14  6.115049 0.634346 SUCCESS  82
101001100   16   14   12   15   11   22   11   15 11.238772 0.188534 SUCCESS  83
101010000   13   14   17   12   15   16   10   17  6.558575 0.584918 SUCCESS  84
101010100   14    8    9   11   13   10    7   10  5.901891 0.658221 SUCCESS  85
101011000   10    5    8   11   19    7    7    9 15.756123 0.046007 SUCCESS  86
101011100   10   11   12   12   11   12   17    8  4.104616 0.847563 SUCCESS  87
101100000   10    8   12    9   26   14   11   10 19.722705 0.011438 SUCCESS  88
101100100   11   13   18    9    7   16   19   19 15.266257 0.054170 SUCCESS  89
101101000   12   16   10   14    8   10   13   10  4.274083 0.831587 SUCCESS  90
101101100   12    9   15   16   13   17    8    9  7.129864 0.522688 SUCCESS  91
101110000   11    8   18   12   16   11   12   10  6.230233 0.621460 SUCCESS  92
101110100   15   10   14    5   17   12   11   11  7.937479 0.439601 SUCCESS  93
101111000   14   14   13   12   13   13    8   13  2.267622 0.971688 SUCCESS  94
101111100   14   10    5    8   11    7   12   13  9.017168 0.340850 SUCCESS  95
110000000   13   10   12   14   14   13   13   13  1.185947 0.996779 SUCCESS  96
110000010   16   16    9   18   20   12    7   11 13.753634 0.088417 SUCCESS  97
110000100   12   16   11   17   11   14    6   11  7.077567 0.528287 SUCCESS  98
110001000   13   17    9   13    7   12   12   10  5.629818 0.688619 SUCCESS  99
110001010   19   11   12    9   14   17   10   14  7.834872 0.449764 SUCCESS 100
110010000    7   12   12   10    9   15   19   11  8.276413 0.406946 SUCCESS 101
110010010   14   13   16   12    8   13   17   19  8.995985 0.342635 SUCCESS 102
110010100   13   13   11   11   14    9   14   18  4.627580 0.796538 SUCCESS 103
110011000   11   12   10   15   14   10   17    9  4.705032 0.788587 SUCCESS 104
110011010    7   12   14   13   12    7   10   13  5.368336 0.717580 SUCCESS 105
110100000    7   10   14   13    8   14   15   16  6.686337 0.570821 SUCCESS 106
110100010   14    8    9   10   10    9    8    9  6.657210 0.574027 SUCCESS 107
110100100   16    3   13   11   11   10   12   15  9.761895 0.282137 SUCCESS 108
110101000    9   11   11   14   11   11   13   16  2.905771 0.940131 SUCCESS 109
110101010   13   11   11   12   14   10    7   10  3.673667 0.885302 SUCCESS 110
110101100   11    5   13    7   12   11   10   15  8.040086 0.429564 SUCCESS 111
110110000   13    8   15   11   17   19    6   18 14.326908 0.073633 SUCCESS 112
110110010   10   10   17   10   10   19   15   18 11.042164 0.199322 SUCCESS 113
110110100   11   14   12   12    9   12   15   11  2.058437 0.979168 SUCCESS 114
110111000   14   16   11   14   13   13   11   11  2.255045 0.972177 SUCCESS 115
110111010   11   13   10    6   17   10    8   13  7.740871 0.459183 SUCCESS 116
110111100   15    9   13   11   14   13   18   17  6.857790 0.552051 SUCCESS 117
111000000   15   10   16   18   15   12   18   12  8.696770 0.368518 SUCCESS 118
111000010   17   14   10   15   14   12    9    9  5.318025 0.723107 SUCCESS 119
111000100   10   25   12   14    5   13   15   12 19.697550 0.011543 SUCCESS 120
111000110   16   13   10   10    9   12    9   10  4.234364 0.835383 SUCCESS 121
111001000   12   14   11    5   12   15   20   13 10.676090 0.220736 SUCCESS 122
111001010   17   12   10   10   14   12   15   13  3.780246 0.876386 SUCCESS 123
111001100    4   13    8   12   12   12   13   10  7.701152 0.463193 SUCCESS 124
111010000   13    9   13   10    9   11   14   11  2.761459 0.948424 SUCCESS 125
111010010   10    5   11    7   11   17    9   14 10.412622 0.237251 SUCCESS 126
111010100    9   11   13   15   13   11    9   15  3.414171 0.905748 SUCCESS 127
111010110   13   11   12    8   11   15   10    9  3.725964 0.880963 SUCCESS 128
111011000   11    8    8   12   15   16    7   17  9.240917 0.322382 SUCCESS 129
111011010   13   15   10   13   12    9   22   12 10.207408 0.250769 SUCCESS 130
111011100   16   14    9   14   18   13   19   15 10.157097 0.254172 SUCCESS 131
111100000   17   11    9   17   19    8   16   15 12.215855 0.141830 SUCCESS 132
111100010    8   16   12   12    9   13   13   14  3.974868 0.859384 SUCCESS 133
111100100    9   11   16    5   13   11   18   13  9.684444 0.287876 SUCCESS 134
111100110    8   14   11   10   11   12    9   16  4.508424 0.808590 SUCCESS 135
111101000   10   10   11   12    8   11   12   15  3.217563 0.919972 SUCCESS 136
111101010    7    7   10   11   13   12   12   10  5.562958 0.696055 SUCCESS 137
111101100   11   10   12    6   16   13    6   10  8.717953 0.366645 SUCCESS 138
111101110   17   10   10    8   15    9   18   16  9.881052 0.273474 SUCCESS 139
111110000   13    7    4   10   18   10   12   16 12.929469 0.114300 SUCCESS 140
111110010   12   10    9    9   15    8    8   10  6.188528 0.626123 SUCCESS 141
111110100   15   14   13   11    4   16    9   13  8.954280 0.346168 SUCCESS 142
111110110   13   14   16   11   17   10   14   10  4.732173 0.785781 SUCCESS 143
111111000   11   13    7   14   19    9   12   15  8.198961 0.414280 SUCCESS 144
111111010   13   14   14    6    7   15   11   11  7.050426 0.531202 SUCCESS 145
111111100   12   13    6    8   16   10   13    8  7.975212 0.435895 SUCCESS 146
111111110   17   10    8    8   16   10   12    9  7.845464 0.448710 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   16   13   17   10    6   11    9    8  9.370665 0.311998 SUCCESS   0
000000011   18   15   14   10    8   11   10   12  6.230233 0.621460 SUCCESS   1
000000101   12    7   11   15   13   14    8   14  5.173713 0.738858 SUCCESS   2
000000111   16   24    9   14   15   15    9    9 17.247563 0.027632 SUCCESS   3
000001001   13   10   14   11    8    5    8   12  8.222130 0.412078 SUCCESS   4
000001011   10   14   12   12   16   14    7   14  4.757328 0.783170 SUCCESS   5
000001101   11   10   16    7   10    9    9   10  6.579759 0.582575 SUCCESS   6
000001111   16   17   12   14    8   11   11   13  5.253151 0.730208 SUCCESS   7
000010001    6   11    7   13   15    9   19   19 15.094805 0.057328 SUCCESS   8
000010011    9   10   15   12    9    4   10   11  9.017168 0.340850 SUCCESS   9
000010101   10   14   14   16    9   11   13   11  3.349297 0.910566 SUCCESS  10
000010111   18   13    8   10   14   15    6   17 10.962727 0.203820 SUCCESS  11
000011001   12    7   13   17   19   15    9   19 13.688760 0.090247 SUCCESS  12
000011011   11   14   14   11    9   11   13   11  1.953844 0.982394 SUCCESS  13
000011101   13   11   13   17    9   16   16    9  6.374545 0.605354 SUCCESS  14
000011111   17   14    9   17   13   10    9   16  7.613109 0.472145 SUCCESS  15
000100011    8   14    7   13   14    9   12   13  5.303461 0.724704 SUCCESS  16
000100101   13   10   11   13   13    8   11   14  2.579415 0.957925 SUCCESS  17
000100111   13   13   14   14   15    9   10   12  2.606556 0.956577 SUCCESS  18
000101001    9    9   12    7   10   18   13   14  7.611123 0.472348 SUCCESS  19
000101011    4   15    8   16   11   13   12   10  9.657303 0.289907 SUCCESS  20
000101101   11    7   10    8   13   17   15   14  7.259612 0.508899 SUCCESS  21
000101111   16    9   13    8   15   12   11   12  4.430972 0.816299 SUCCESS  22
000110011   10    6   14   13   12   18   12   13  6.908101 0.546580 SUCCESS  23
000110101   14    8   11    8    9   12    7   13  6.579759 0.582575 SUCCESS  24
000110111    7   16   13   11    9   10    8   12  6.450011 0.596958 SUCCESS  25
000111001   11   20   12   16   12   10    9   14  8.069213 0.426739 SUCCESS  26
000111011   14   10   10   19   10   16   14   10  7.339049 0.500532 SUCCESS  27
000111101   16   16   17   13    7    8   16   12  9.477244 0.303648 SUCCESS  28
000111111   17   22    6   20   15   12   12   20 24.367156 0.001988 FAILURE  29
001000011   12    9    7   14   13    7   15   15  7.102723 0.525591 SUCCESS  30
001000101    9   11   11   11    9   17   14   15  4.991669 0.758466 SUCCESS  31
001000111    6   18    5   23   18    7   11   17 27.610195 0.000554 FAILURE  32
001001011   20   11    9   14   14   14    7   10  9.671866 0.288816 SUCCESS  33
001001101   13   14   13   14   13   14    8    8  3.974868 0.859384 SUCCESS  34
001001111   10   14   13   15   18   14   15   14  5.489478 0.704205 SUCCESS  35
001010011    8   11   12    5   12   16   15   13  7.950057 0.438364 SUCCESS  36
001010101   10    9   16   18   10   15   15    9  7.964620 0.436934 SUCCESS  37
001010111    6   10    8   18   15   10   14   15 10.023377 0.263389 SUCCESS  38
001011011    8    9   11   12   17   18   14   19 11.498268 0.175033 SUCCESS  39
001011101   12   13    5   11   12   11   11   15  5.472928 0.706037 SUCCESS  40
001011111   19   11   13    7    7   10   13   11  9.253495 0.321365 SUCCESS  41
001100101   13    8   12    9   22   10    8   14 12.734847 0.121304 SUCCESS  42
001100111    8   10   20   14   14    9    7    8 12.251601 0.140326 SUCCESS  43
001101011   16   11   16    8    9   13   10    7  7.675997 0.465742 SUCCESS  44
001101101   11   14   15    7    8   13    8   11  6.502307 0.591152 SUCCESS  45
001101111    4   16   16    8   12   10    4   11 15.848138 0.044606 SUCCESS  46
001110101   19   14   15   14   10    5   12   12  9.945926 0.268842 SUCCESS  47
001110111   12   10   10   17    9   10   15    7  6.998130 0.536834 SUCCESS  48
001111011   13    9   13   14   14   11   18   10  4.914217 0.766704 SUCCESS  49
001111101    6   11   12   16   16   12   20    6 14.247471 0.075539 SUCCESS  50
001111111   15   13   12   12   12   17   14   17  4.928781 0.765160 SUCCESS  51
010000011    8   15   13   15   14   11   13   11  3.453890 0.902739 SUCCESS  52
010000111   13    7   10   15   14    7   14   14  6.529448 0.588143 SUCCESS  53
010001011   10   11   14   11    9   10   18   14  5.330603 0.721727 SUCCESS  54
010001111   13   20    8   16   18   10   17   10 13.571589 0.093638 SUCCESS  55
010010011   13   12   13   13    5   13   14   10  5.290884 0.726082 SUCCESS  56
010010111   10   12   12   12   10   10    8    7  5.002261 0.757334 SUCCESS  57
010011011   10   15    9   10   15   13    7   12  5.355758 0.718963 SUCCESS  58
010011111   12   11   11   12   15   16   14    9  3.284423 0.915262 SUCCESS  59
010100011   11   12   14   12   16   20   13   11  6.974960 0.539337 SUCCESS  60
010100111   17    6   16   10   10   10   13   13  7.768012 0.456453 SUCCESS  61
010101011    9   10   15   11    5   11   17   12  8.523331 0.384086 SUCCESS  62
010101111   15    7   10   13   10    8   14   12  5.590099 0.693039 SUCCESS  63
010110011   10   11   14    9   15   12   13   18  5.253151 0.730208 SUCCESS  64
010110111    9   13   11   12   10   17    9   18  7.129864 0.522688 SUCCESS  65
010111011   11   19    4    9    9   10   17   15 14.494389 0.069755 SUCCESS  66
010111111   17   12   11    8   13   12   22   10 12.188713 0.142980 SUCCESS  67
011000111   17   21    8   15    9   14   15   12 12.502492 0.130153 SUCCESS  68
011001111    9   11   11   16   11   11   11   13  2.748881 0.949115 SUCCESS  69
011010111   12    9   17   11   15   10   12   10  4.430972 0.816299 SUCCESS  70
011011111    8   17   14   14   11    8    4   14 11.573734 0.171260 SUCCESS  71
011101111   11   14    9   18   10   15   16   13  6.479138 0.593723 SUCCESS  72
011111111   11   14   11   15   13   15   14   13  2.242467 0.972661 SUCCESS  73
100000000   16   13   17   10    6   11    9    8  9.370665 0.311998 SUCCESS  74
100010000    7   10   13   13   11   11   17    8  6.489729 0.592547 SUCCESS  75
100100000    3    8   11   10   14    7    9   16 13.827113 0.086384 SUCCESS  76
100101000   13   10   15   12   18   18   15   15  8.188369 0.415289 SUCCESS  77
100110000   16    8    9   12    8    8   12   10  6.970989 0.539766 SUCCESS  78
100111000   19   13   17   13   10    5   10   11 11.314238 0.184522 SUCCESS  79
101000000   11   12   11   14    7   16    8   11  5.642395 0.687218 SUCCESS  80
101000100    6    9   14   19   19    7   13   14 14.860464 0.061916 SUCCESS  81
101001000    7   14   12   13    5    8   11   23 18.509296 0.017716 SUCCESS  82
101001100   13   11   13   13   12   15   11   14  1.355414 0.994856 SUCCESS  83
101010000    9   12   10   18    9   15   11   11  5.903877 0.657998 SUCCESS  84
101010100   14    7   10   19   10   19   14   12 11.510846 0.174399 SUCCESS  85
101011000   11   12    9    8   11   12   16    6  7.075581 0.528500 SUCCESS  86
101011100   12   13   10   14   13   11   10   12  1.328273 0.995206 SUCCESS  87
101100000   22   11   12    9   18   15   10    9 13.935678 0.083457 SUCCESS  88
101100100    7   12   14    9   11   14   14   10  4.508424 0.808590 SUCCESS  89
101101000   14   15   19   10    8   12   14   12  7.052412 0.530989 SUCCESS  90
101101100   15    8   13   18   12   14   11   12  5.474914 0.705818 SUCCESS  91
101110000    7   12   15   19   16   11    9   19 13.023470 0.111045 SUCCESS  92
101110100    6   10   10   20   16   10   13   13 10.975304 0.203102 SUCCESS  93
101111000   10   15   10   10   15   10    8   17  6.412278 0.601153 SUCCESS  94
101111100   14   16   12   12    8    9    9   10  5.133995 0.743163 SUCCESS  95
110000000   17   12   13    8    9   14   11   12  4.769906 0.781862 SUCCESS  96
110000010   14   10   12    9   14    7   12   11  4.234364 0.835383 SUCCESS  97
110000100   14   13   11   13   15    5   15   17  8.186384 0.415479 SUCCESS  98
110001000   12   14   10   13   12   12    9    9  2.474822 0.962895 SUCCESS  99
110001010    8   16   10   16   15   13   15    8  7.234457 0.511561 SUCCESS 100
110010000    8   11    9   15   19   12   13   18  9.985645 0.266035 SUCCESS 101
110010010   13   14   15   11   15   15    9    9  4.184054 0.840147 SUCCESS 102
110010100   15   15   13    9   16   19   16   13  8.696770 0.368518 SUCCESS 103
110011000    7   12    9   15   12   15    9    8  6.841241 0.553855 SUCCESS 104
110011010   13   13   15   12    9   17   15   12  4.276069 0.831396 SUCCESS 105
110100000   14   21   17   14    9   13    7    9 13.153218 0.106685 SUCCESS 106
110100010    7   13   18   13   11    6   13   11  8.797391 0.359675 SUCCESS 107
110100100   11   10   10   10    3    9   13   19 13.345854 0.100491 SUCCESS 108
110101000    9   10    9   10   12   12    7   11  4.949964 0.762910 SUCCESS 109
110101010   13    8    9   11    5   15   16   15  9.475258 0.303802 SUCCESS 110
110101100   12   10   12    8   10    7   17    8  8.040086 0.429564 SUCCESS 111
110110000   15   10   14   10   17   14   11   12  4.119180 0.846214 SUCCESS 112
110110010   13   14   13   12   16    9   10   10  3.297001 0.914361 SUCCESS 113
110110100   11   16   18    8   11   10   13   15  6.947819 0.542273 SUCCESS 114
110111000   14    7   12   12   18   14    9   15  7.234457 0.511561 SUCCESS 115
110111010   12    7    9   16   15   17   16   11  8.355850 0.399504 SUCCESS 116
110111100    7   18   14   12    8   16   11   15  8.929125 0.348310 SUCCESS 117
111000000   16   17   15   11   12    9    7   12  7.129864 0.522688 SUCCESS 118
111000010   20   13   16   18   12    8    8    7 14.573827 0.067981 SUCCESS 119
111000100   10   11    7   10   13   10    8    9  6.031639 0.643688 SUCCESS 120
111000110   16   12   12    8   13   11    8   13  4.443550 0.815054 SUCCESS 121
111001000    6   14    8   12   18    8   10   11  9.891643 0.272714 SUCCESS 122
111001010   13   15   15   11   11   22   14   15 10.730372 0.217450 SUCCESS 123
111001100   11   16   11   18   11    9    7    8  9.084028 0.335257 SUCCESS 124
111010000   11   15   14   18   11   15   16   19  9.870460 0.274236 SUCCESS 125
111010010    8   12   13    9    9    8   17   18  9.579851 0.295761 SUCCESS 126
111010100   17    7    9   12   13   14   14   12  5.721833 0.678358 SUCCESS 127
111010110    8   10   13   13   15    9   12   11  3.661090 0.886334 SUCCESS 128
111011000   11   10   13   10   15   12   14    9  2.801178 0.946208 SUCCESS 129
111011010   11   13   12   13    5    7   17    7 11.142785 0.193739 SUCCESS 130
111011100   12   15   10   10   12    9    7    9  5.498084 0.703252 SUCCESS 131
111100000   19   14   14    5   13    6    9    8 14.519544 0.069189 SUCCESS 132
111100010   12   14    8   13   14   15   11   15  3.558483 0.894604 SUCCESS 133
111100100    4   17   10   10   14   12    9    9 10.464918 0.233898 SUCCESS 134
111100110   11   19   12   13    9   16   12    7  8.485598 0.387527 SUCCESS 135
111101000   11   13   13   15    6    9   20   13 10.232563 0.249081 SUCCESS 136
111101010   17   10    6   17   14   19   13   17 13.793352 0.087313 SUCCESS 137
111101100   10    7   15   16   20   15   13    5 14.860464 0.061916 SUCCESS 138
111101110   10   13   12   15   14   11    8    9  3.882853 0.867535 SUCCESS 139
111110000   22   14   16   10    7   10    7    7 17.323029 0.026916 SUCCESS 140
111110010   13   15    9   11   21   13   13   16  9.621556 0.292598 SUCCESS 141
111110100   13   11   13   10    7   11   17   19  8.929125 0.348310 SUCCESS 142
111110110   12    9   12   16   16   10   11   12  3.857698 0.869729 SUCCESS 143
111111000   19   17   10   11   15   13   11   11  7.378768 0.496371 SUCCESS 144
111111010   11   15   11   17   13   13   19   21 13.481560 0.096320 SUCCESS 145
111111100   16   17   14    9   15   18   14   15  8.801363 0.359329 SUCCESS 146
111111110   11   14   11   15   13   15   14   13  2.242467 0.972661 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   11   12   10   19    7   15   11    6 10.778696 0.214557 SUCCESS   0
000000011   14   10   10   18   13   15   16   11  6.023034 0.644652 SUCCESS   1
000000101   13   11    7   13    7    8   11    9  7.270203 0.507780 SUCCESS   2
000000111   20   12   11   17    9   16   18   11 12.320447 0.137469 SUCCESS   3
000001001   18   17    7   13   12   13   14   11  7.613109 0.472145 SUCCESS   4
000001011    7   11   12   12   13   13   11   11  2.761459 0.948424 SUCCESS   5
000001101   17   11    9   10   14   11    8   12  5.238587 0.731798 SUCCESS   6
000001111   21   15   12   13    7   12   12   12  9.594415 0.294654 SUCCESS   7
000010001   11   12    9   11   13   14   12   13  1.497740 0.992745 SUCCESS   8
000010011   12   18    7   15   13    7   14   11  8.550472 0.381623 SUCCESS   9
000010101   12   13   11   12   11    9   17   16  4.353520 0.823903 SUCCESS  10
000010111    7   16   14   12   18   18   11   12  9.634133 0.291649 SUCCESS  11
000011001    9    7    8   14   12   11   16    9  7.127878 0.522901 SUCCESS  12
000011011   12    8    7    8   14   11   12   10  6.071358 0.639239 SUCCESS  13
000011101   14    5   15   11   13   12   12   12  5.512647 0.701638 SUCCESS  14
000011111   16   18   11   12    9   12   13    7  7.416501 0.492433 SUCCESS  15
000100011   10   14   18   10   15   14   13   13  5.006233 0.756910 SUCCESS  16
000100101   16   10   14    7   11   13   13   14  4.705032 0.788587 SUCCESS  17
000100111   17    7    9   15   14   12   16   12  7.286753 0.506034 SUCCESS  18
000101001   13    7   14   12   11   13    7   14  5.355758 0.718963 SUCCESS  19
000101011   17   15    9   18   15   12   16   14  8.527303 0.383725 SUCCESS  20
000101101    6   16   12   11   14    8   10   11  6.893537 0.548162 SUCCESS  21
000101111    8   13   13   14   11    9    9   10  4.129771 0.845229 SUCCESS  22
000110011    7   10   10   12   16   17    9   16  8.381006 0.397164 SUCCESS  23
000110101   12   11   11   13   14   17    8   14  4.301224 0.828975 SUCCESS  24
000110111   15   12   14    5   15    9   10   11  7.389360 0.495264 SUCCESS  25
000111001   16   14   14   11    8   15    9   15  5.592085 0.692818 SUCCESS  26
000111011   12    7   16    9   12   11   12   11  4.625594 0.796740 SUCCESS  27
000111101   15   17   17   13   20    9   15   15 12.008655 0.150818 SUCCESS  28
000111111   15   18   10   15   15   11   14    8  7.157005 0.519792 SUCCESS  29
001000011    9   13   11   13   13   13   11    9  2.188185 0.974692 SUCCESS  30
001000101   14   20   15   18    9   16   11    9 12.046388 0.149146 SUCCESS  31
001000111   14   13   17   12   13   10   11    9  3.740527 0.879742 SUCCESS  32
001001011    9   10   11   12    8   11   18   14  6.138218 0.631753 SUCCESS  33
001001101   13   16    9    8   15   10   13   19  8.694784 0.368694 SUCCESS  34
001001111   15    9   11   13   14   10   17   11  4.470691 0.812358 SUCCESS  35
001010011   14    9   17    9    9   11    9   12  5.811862 0.668297 SUCCESS  36
001010101    9    9   12    7   10   17   13    8  7.922916 0.441036 SUCCESS  37
001010111   20   16    9   14   16   18   14   10 12.307870 0.137987 SUCCESS  38
001011011    8   16   15   10   16   11   16   10  6.778352 0.560725 SUCCESS  39
001011101   13   21   14   20   17   14   12   15 14.981606 0.059504 SUCCESS  40
001011111   11   16   11   10    5   10   14    8  8.431316 0.392511 SUCCESS  41
001100101   10   11   16   11   10    9   20    9  9.176043 0.327664 SUCCESS  42
001100111   13   11   18   12   11   19   10   13  7.548235 0.478794 SUCCESS  43
001101011   13   11   10   11   15   15   10   22 10.598638 0.225494 SUCCESS  44
001101101   11    9    8   13   14   11    9    6  7.035863 0.532768 SUCCESS  45
001101111   10   11   13    8   17    7   12   12  6.320262 0.611406 SUCCESS  46
001110101   10   12   19   14   10   15   11   14  6.087908 0.637385 SUCCESS  47
001110111   12   10   12    9   10   12   11   12  1.809532 0.986305 SUCCESS  48
001111011   12   19   23   12   16    6   15   10 19.385758 0.012927 SUCCESS  49
001111101   16    8    9   18    6   13   10   11 10.270296 0.246565 SUCCESS  50
001111111   10   16   14   13   17   15    9   11  5.579507 0.694216 SUCCESS  51
010000011    8   10   10   12    8   14   16    9  6.163373 0.628937 SUCCESS  52
010000111   18   14   17   11   10   12    9    9  7.351627 0.499213 SUCCESS  53
010001011    7   19   14   13   12   11    8    8  9.644725 0.290852 SUCCESS  54
010001111   12    7   13   16   18   13   12   12  6.491715 0.592327 SUCCESS  55
010010011    7    9   12   11   16   11   13   20  9.841333 0.276339 SUCCESS  56
010010111   13   14   14   14    6    9   17   11  7.077567 0.528287 SUCCESS  57
010011011   14   10   11   11   18    5   14   14  8.719939 0.366470 SUCCESS  58
010011111   13    9   10    9   10   12   18   13  5.512647 0.701638 SUCCESS  59
010100011   12   11   10    9   14    9   17   26 20.649477 0.008139 FAILURE  60
010100111   13    8   11   13    8   11   13    9  4.246942 0.834184 SUCCESS  61
010101011   10    8   18    5   10   17    9   15 13.034062 0.110683 SUCCESS  62
010101111   18   16   14    9   12   12   15   11  6.023034 0.644652 SUCCESS  63
010110011    8   11   10   12   16   19    8   16  9.893629 0.272571 SUCCESS  64
010110111    6   11   10   11   15   14    9   18  8.563050 0.380485 SUCCESS  65
010111011   10   18   10   26   18    9   13   13 23.662147 0.002610 FAILURE  66
010111111    9   18   12   10   10    9   11    6  8.770250 0.362047 SUCCESS  67
011000111   14   12   13   14   12   12    9   14  1.759222 0.987525 SUCCESS  68
011001111   13   10   15   10    9   19   11   15  7.117286 0.524033 SUCCESS  69
011010111   13    8   12    7   13    8   10   14  6.058780 0.640648 SUCCESS  70
011011111    5   11   10   10   16   10   16   10  8.588205 0.378215 SUCCESS  71
011101111   12    9    8   13   13    8   12   16  5.186291 0.737492 SUCCESS  72
011111111   14   15   12   10   14    8   16   11  4.470691 0.812358 SUCCESS  73
100000000   11   12   10   19    7   15   11    6 10.778696 0.214557 SUCCESS  74
100010000    9   10    8   11    9    6   15    7  9.941954 0.269124 SUCCESS  75
100100000   13   12    5   11   11   12    8   12  6.175951 0.627530 SUCCESS  76
100101000   11    7   10   11   13    9   16   16  6.307685 0.612809 SUCCESS  77
100110000   16   12   14   11   14   15   15   15  3.911980 0.864976 SUCCESS  78
100111000   20    8   13   17   12   15   16   14 10.847542 0.210488 SUCCESS  79
101000000   13   12   11   16    8   13   15   13  3.675653 0.885138 SUCCESS  80
101000100   18    6   18   17   17   17   14   16 16.349918 0.037637 SUCCESS  81
101001000   12   12   13   13   18   13    8    6  7.768012 0.456453 SUCCESS  82
101001100   17   10   20    9   11   13   11   10  9.098592 0.334047 SUCCESS  83
101010000   17    5   13   12   13   14   13   12  6.790930 0.559349 SUCCESS  84
101010100    9   10   11   14   10   13   19    9  6.920678 0.545215 SUCCESS  85
101011000   17   11   13   11    9   12   10   15  4.196631 0.838961 SUCCESS  86
101011100   18   15   12    6   14   13   17   14  9.347496 0.313835 SUCCESS  87
101100000   12   11    9    6    5    9   14   10 10.163717 0.253723 SUCCESS  88
101100100   10   14    9   12   12    8    7   14  5.602676 0.691640 SUCCESS  89
101101000   13   15    9   19   11   11    8   10  7.650842 0.468298 SUCCESS  90
101101100    7   13   19   13   13   12   13    9  7.299331 0.504708 SUCCESS  91
101110000   15   13   12   12   17    6   15   10  7.012693 0.535264 SUCCESS  92
101110100   10   12   12    7   11   16   14   10  4.730187 0.785986 SUCCESS  93
101111000    9   12   14   15   20   14    7   11  9.659289 0.289758 SUCCESS  94
101111100   10   16   15   11   12    9   11   11  3.531342 0.896744 SUCCESS  95
110000000   16    8    8   17   11   17   13    7 10.584074 0.226398 SUCCESS  96
110000010   15   11   15   11   13   15   13   14  2.633697 0.955205 SUCCESS  97
110000100    9   15    5   15   16    6   13   16 12.343617 0.136518 SUCCESS  98
110001000   10   16   17   11    8    7   18    6 13.594758 0.092959 SUCCESS  99
110001010   14   16   15   11   12   13   12   16  3.585624 0.892444 SUCCESS 100
110010000   11   11    8   11    4   12    7   11  9.941954 0.269124 SUCCESS 101
110010010   10   15   12   12   11   14   13   12  1.537458 0.992068 SUCCESS 102
110010100   11   13   16   12   11   10   20   12  7.104709 0.525379 SUCCESS 103
110011000   11   14   14   14   16   17   13   22 12.347589 0.136356 SUCCESS 104
110011010   13   12    9   12   16   11   15   15  3.610779 0.890424 SUCCESS 105
110100000   13   12    9   14   10   13   12   10  2.071014 0.978757 SUCCESS 106
110100010   13   11   16   19   15   18   12   12  8.866237 0.353706 SUCCESS 107
110100100    9   11   13   17   19    8   12   10  8.824532 0.357314 SUCCESS 108
110101000   14    6   19   12   13   13   12   18 10.429171 0.236186 SUCCESS 109
110101010   10    9   17   12   10   13   14   16  5.200855 0.735909 SUCCESS 110
110101100   14    8   10   13   15   15   12   13  3.623357 0.889408 SUCCESS 111
110110000   10   14   13    9   12    4   14    5 11.950401 0.153431 SUCCESS 112
110110010    8   15   14   15   14    2    7    9 15.327160 0.053088 SUCCESS 113
110110100   12   13    6   15   14    9    9   11  6.098499 0.636199 SUCCESS 114
110111000   16   14   16   16   18   12    9    7  9.973067 0.266921 SUCCESS 115
110111010   15    8    9   10   14   12   16   11  5.056543 0.751516 SUCCESS 116
110111100   10   15   11   16   16   14   11   12  4.054306 0.852191 SUCCESS 117
111000000   21   13    9   21   10   10   13    8 16.425384 0.036681 SUCCESS 118
111000010    9   17    9   13   17   12   11   18  8.682206 0.369810 SUCCESS 119
111000100   12   16   17    8    7   15   11    9  8.615346 0.375776 SUCCESS 120
111000110   12    5   12    8   16   14   12   12  7.389360 0.495264 SUCCESS 121
111001000   14   14    8    6    6   14   11   14  9.213776 0.324584 SUCCESS 122
111001010   15   14   14   10   15   14   13   15  3.298987 0.914218 SUCCESS 123
111001100   11   15   14   14   14   10   18   16  6.115049 0.634346 SUCCESS 124
111010000   12   16    6   17   13   14    8   10  8.667643 0.371104 SUCCESS 125
